Periode,Meninggal
1,32
2,34
3,32
4,23
5,25
6,26
7,26
8,27
9,30
10,31
11,39
12,38
13,38
14,21
15,27
16,21
17,32
18,31
19,38
20,27
21,27
22,41
23,31
24,35
25,30
26,29
27,46
28,35
29,43
30,49
31,36
32,39
33,39
34,53
35,36
36,37
37,35
38,49
39,38
40,48
41,36
42,48
43,55
44,30
45,47
46,27
47,40
48,29
49,32
50,36
51,33
52,27
53,36
54,31
55,42
56,19
57,26
58,35
59,22
60,33
61,26
62,28
63,27
64,22
65,24
66,21
67,26
68,36
69,24
70,25
71,27
72,32
73,25
74,31
75,41
76,27
77,39
78,28
79,38
80,36
81,33
82,35
83,33
84,31
85,28
86,31
87,43
88,43
89,39
90,46
91,43
92,30
93,49
94,37
95,36
96,21
97,33
98,27
99,40
100,29
101,35
102,28
103,34
104,27
105,28
106,30
107,35
108,33
109,32
110,28
111,24
112,33
113,26
114,31
115,40
116,27
117,22
118,32
119,30
120,29
121,28
122,38
123,42
124,30
125,31
126,28
127,37
128,39
129,40
130,34
131,46
132,43
133,30
134,26
135,46
136,46
137,44
138,33
139,39
140,48
141,37
142,54
143,30
144,32
145,39
146,46
147,37
148,35
149,26
150,32
151,35
152,33
153,30
154,48
155,34
156,21
157,26
158,25
159,31
160,28
161,26
162,28
163,23
164,26
165,16
166,24
167,33
168,22
169,24
170,30
171,22
172,20