Date,Periode,Close
01/01/2018,1,186.85
08/01/2018,2,179.37
15/01/2018,3,181.29
22/01/2018,4,190.00
29/01/2018,5,190.28
05/02/2018,6,176.11
12/02/2018,7,177.36
19/02/2018,8,183.29
26/02/2018,9,176.62
05/03/2018,10,185.23
12/03/2018,11,185.09
19/03/2018,12,159.39
26/03/2018,13,159.79
02/04/2018,14,157.20
09/04/2018,15,164.52
16/04/2018,16,166.28
23/04/2018,17,173.59
30/04/2018,18,176.61
07/05/2018,19,186.99
14/05/2018,20,182.68
21/05/2018,21,184.92
28/05/2018,22,193.99
04/06/2018,23,189.10
11/06/2018,24,195.85
18/06/2018,25,201.74
25/06/2018,26,194.32
02/07/2018,27,203.23
09/07/2018,28,207.32
16/07/2018,29,209.94
23/07/2018,30,174.89
30/07/2018,31,177.78
06/08/2018,32,180.26
13/08/2018,33,173.80
20/08/2018,34,174.65
27/08/2018,35,175.73
03/09/2018,36,163.04
10/09/2018,37,162.32
17/09/2018,38,162.93
24/09/2018,39,164.46
01/10/2018,40,157.33
08/10/2018,41,153.74
15/10/2018,42,154.05
22/10/2018,43,145.37
29/10/2018,44,150.35
05/11/2018,45,144.96
12/11/2018,46,139.53
19/11/2018,47,131.73
26/11/2018,48,140.61
03/12/2018,49,137.42
10/12/2018,50,144.06
17/12/2018,51,124.95
24/12/2018,52,133.20
31/12/2018,53,137.95
07/01/2019,54,143.80
14/01/2019,55,150.04
21/01/2019,56,149.01
28/01/2019,57,165.71
04/02/2019,58,167.33
11/02/2019,59,162.50
18/02/2019,60,161.89
25/02/2019,61,162.28
04/03/2019,62,169.60
11/03/2019,63,165.98
18/03/2019,64,164.34
25/03/2019,65,166.69
01/04/2019,66,175.72
08/04/2019,67,179.10
15/04/2019,68,178.28
22/04/2019,69,191.49
29/04/2019,70,195.47
06/05/2019,71,188.34
13/05/2019,72,185.30
20/05/2019,73,181.06
27/05/2019,74,177.47
03/06/2019,75,173.35
10/06/2019,76,181.33
17/06/2019,77,191.14
24/06/2019,78,193.00
01/07/2019,79,196.40
08/07/2019,80,204.87
15/07/2019,81,198.36
22/07/2019,82,199.75
29/07/2019,83,189.02
05/08/2019,84,187.85
12/08/2019,85,183.70
19/08/2019,86,177.75
26/08/2019,87,185.67
02/09/2019,88,187.49
09/09/2019,89,187.19
16/09/2019,90,189.93
23/09/2019,91,177.10
30/09/2019,92,180.45
07/10/2019,93,184.19
14/10/2019,94,185.85
21/10/2019,95,187.89
28/10/2019,96,193.62
04/11/2019,97,190.84
11/11/2019,98,195.10
18/11/2019,99,198.82
25/11/2019,100,201.64
02/12/2019,101,201.05
09/12/2019,102,194.11
16/12/2019,103,206.30
23/12/2019,104,208.10
30/12/2019,105,208.67
06/01/2020,106,218.06
13/01/2020,107,222.14
20/01/2020,108,217.94
27/01/2020,109,201.91
03/02/2020,110,212.33
10/02/2020,111,214.18
17/02/2020,112,210.18
24/02/2020,113,192.47
02/03/2020,114,181.09
09/03/2020,115,170.28
16/03/2020,116,149.73
23/03/2020,117,156.79
30/03/2020,118,154.18
06/04/2020,119,175.19
13/04/2020,120,179.24
20/04/2020,121,190.07
27/04/2020,122,202.27
04/05/2020,123,212.35
11/05/2020,124,210.88
18/05/2020,125,234.91
25/05/2020,126,225.09
01/06/2020,127,230.77
08/06/2020,128,228.58
15/06/2020,129,238.79
22/06/2020,130,216.08
29/06/2020,131,233.42
06/07/2020,132,245.07
13/07/2020,133,242.03
20/07/2020,134,230.71
27/07/2020,135,253.67
03/08/2020,136,268.44
10/08/2020,137,261.24
17/08/2020,138,267.01
24/08/2020,139,293.66
31/08/2020,140,282.73
07/09/2020,141,266.61
14/09/2020,142,252.53
21/09/2020,143,254.82
28/09/2020,144,259.94
05/10/2020,145,264.45
12/10/2020,146,265.93
19/10/2020,147,284.79
26/10/2020,148,263.11
02/11/2020,149,293.41
09/11/2020,150,276.95
16/11/2020,151,269.70
23/11/2020,152,277.81
30/11/2020,153,279.70
07/12/2020,154,273.55
14/12/2020,155,276.40
21/12/2020,156,267.40
28/12/2020,157,273.16
04/01/2021,158,267.57
11/01/2021,159,251.36
18/01/2021,160,274.50
25/01/2021,161,258.33
01/02/2021,162,268.10
08/02/2021,163,270.50
15/02/2021,164,261.56
22/02/2021,165,257.62
01/03/2021,166,264.28
08/03/2021,167,268.40
15/03/2021,168,290.11
22/03/2021,169,283.02
29/03/2021,170,298.66
05/04/2021,171,312.46
12/04/2021,172,306.18
19/04/2021,173,301.13
26/04/2021,174,325.08
03/05/2021,175,319.08
10/05/2021,176,315.94
17/05/2021,177,316.23
24/05/2021,178,328.73
31/05/2021,179,330.35
07/06/2021,180,331.26
14/06/2021,181,329.66
21/06/2021,182,341.37
28/06/2021,183,354.70
05/07/2021,184,350.42
12/07/2021,185,341.16
19/07/2021,186,369.79
26/07/2021,187,356.30
02/08/2021,188,363.51
09/08/2021,189,363.18
16/08/2021,190,359.37
23/08/2021,191,372.63
30/08/2021,192,376.26
06/09/2021,193,378.69
13/09/2021,194,364.72
20/09/2021,195,352.96
27/09/2021,196,343.01
04/10/2021,197,330.05
11/10/2021,198,324.76
18/10/2021,199,324.61
25/10/2021,200,323.57
01/11/2021,201,341.13
08/11/2021,202,340.89
15/11/2021,203,345.30
22/11/2021,204,333.12
29/11/2021,205,306.84
06/12/2021,206,329.75
13/12/2021,207,333.79
20/12/2021,208,335.24
27/12/2021,209,336.35
03/01/2022,210,331.79
10/01/2022,211,331.90
17/01/2022,212,303.17
24/01/2022,213,301.71
31/01/2022,214,237.09
07/02/2022,215,219.55
14/02/2022,216,206.16
21/02/2022,217,210.48
28/02/2022,218,200.06
07/03/2022,219,187.61
14/03/2022,220,216.49
21/03/2022,221,221.82
28/03/2022,222,224.85
04/04/2022,223,222.33
11/04/2022,224,210.18
18/04/2022,225,184.11
25/04/2022,226,200.47
02/05/2022,227,203.77
09/05/2022,228,198.62
16/05/2022,229,193.54
23/05/2022,230,195.13
30/05/2022,231,190.78
06/06/2022,232,175.57
13/06/2022,233,163.74
20/06/2022,234,170.16
27/06/2022,235,160.03
04/07/2022,236,170.88
11/07/2022,237,164.70
18/07/2022,238,169.27
25/07/2022,239,159.10
01/08/2022,240,167.11
08/08/2022,241,180.50
15/08/2022,242,167.96
22/08/2022,243,161.78
29/08/2022,244,160.32
05/09/2022,245,169.15
12/09/2022,246,146.29
19/09/2022,247,140.41
26/09/2022,248,135.68
03/10/2022,249,133.45
10/10/2022,250,126.76
17/10/2022,251,130.01
24/10/2022,252,99.20
31/10/2022,253,90.79
07/11/2022,254,113.02
14/11/2022,255,112.05
21/11/2022,256,111.41
28/11/2022,257,123.49
05/12/2022,258,115.90
12/12/2022,259,119.43
19/12/2022,260,118.04
26/12/2022,261,120.34
02/01/2023,262,130.02
09/01/2023,263,136.98
16/01/2023,264,139.37
23/01/2023,265,151.74
30/01/2023,266,186.53
06/02/2023,267,174.15
13/02/2023,268,172.88
20/02/2023,269,170.39
27/02/2023,270,185.25
06/03/2023,271,179.51
13/03/2023,272,195.61
20/03/2023,273,206.01
27/03/2023,274,211.94
03/04/2023,275,216.10
10/04/2023,276,221.49
17/04/2023,277,212.89
24/04/2023,278,240.32
01/05/2023,279,232.78
08/05/2023,280,233.81
15/05/2023,281,245.64
22/05/2023,282,262.04
29/05/2023,283,272.61
05/06/2023,284,264.95
12/06/2023,285,281.00
19/06/2023,286,288.73
26/06/2023,287,286.98
03/07/2023,288,290.53
10/07/2023,289,308.87
17/07/2023,290,294.26
24/07/2023,291,325.48
31/07/2023,292,310.73
07/08/2023,293,301.64
14/08/2023,294,283.25
21/08/2023,295,285.50
28/08/2023,296,296.38
04/09/2023,297,297.89
11/09/2023,298,300.31
18/09/2023,299,299.08
25/09/2023,300,300.21
02/10/2023,301,315.43
09/10/2023,302,314.69
16/10/2023,303,308.65
23/10/2023,304,296.73
30/10/2023,305,302.66